Time,Hand:x,Hand:y,Hand:z
94.678,318.4407,307.53748,94.65694
95.095,320.96005,308.50238,95.1708
95.512,318.93542,310.25998,98.96239
95.929,311.05029,318.78864,95.83724
96.346,314.83752,322.66071,96.46291
96.763,314.93338,326.00925,117.28547
97.18,313.42374,355.44296,119.99933
97.598,321.67612,348.37396,113.00724
98.015,322.58603,350.55463,107.05591
98.432,328.45895,348.39447,104.24837
98.849,327.80713,349.63977,101.30009
99.266,323.42041,344.62476,100.96805
99.683,319.79404,342.90515,101.60178
100.1,326.12833,342.64624,100.15374
100.517,328.93649,343.09424,92.12003
100.934,378.88,313.48184,89.30994
101.351,363.52914,304.42053,86.12272
101.768,347.22345,293.45062,69.65071
102.185,384.56741,284.91907,78.41657
102.603,360.50665,293.34656,74.16083
103.02,370.1586,291.19299,78.17377
103.437,384.76221,290.08615,84.705
103.854,387.30469,289.27612,83.10923
104.271,383.00867,292.08698,83.96296
104.688,387.13947,292.2363,86.44287
105.105,362.66272,315.29007,91.15726
105.522,342.15375,335.77664,81.07358
105.939,289.97202,269.91666,153.02805
106.356,175.47736,155.95128,346.48648
106.773,147.89732,148.24666,345.28152
107.19,127.49339,166.30299,366.69305
107.607,160.89513,187.95703,229.02777
108.025,191.06943,193.8614,265.48492
108.442,297.48254,279.59586,162.26968
108.859,342.67795,310.84753,136.41734
109.276,336.80563,303.14182,133.19887
109.693,332.33957,303.72522,137.63345
110.11,316.75143,301.83252,152.52429
110.527,318.87671,298.2012,147.07404
110.944,318.04111,296.84677,148.22758
111.361,312.77945,292.45071,152.48384
111.778,294.76065,332.20779,125.46555
112.195,295.86581,360.06836,115.69579
112.613,311.18967,371.21829,96.28149
113.03,316.16547,367.56378,99.66374
113.447,326.38779,359.53143,90.10091
113.864,333.19333,360.80994,82.65104
114.281,330.603,352.41602,88.21577
114.698,331.71729,354.62622,84.43524
115.115,331.83878,353.14914,83.23924
115.532,331.48059,353.677,82.17003
115.949,270.50055,279.05734,210.95219
116.366,185.32018,213.38989,394.26944
116.783,142.4485,252.95201,331.27499
117.2,228.03146,291.44702,212.28613
117.618,309.89063,216.76308,294.80148
118.035,267.29614,127.71819,459.12457
118.452,143.5791,76.89754,537.40045
118.869,141.65718,167.45631,404.92307
119.286,233.66289,113.34147,272.93649
119.703,192.70625,115.11346,241.29391
120.12,312.37888,259.64145,183.66986
120.537,352.94879,312.80069,127.32097
120.954,358.40063,312.08905,128.886
121.371,353.85083,308.39099,125.11605
121.788,357.89551,309.63339,118.76266
122.205,359.22833,310.30951,118.79719
122.622,358.87936,307.93866,121.0249
123.04,360.23416,309.69293,118.57064
123.457,361.26987,310.81857,116.03868
123.874,362.63486,311.42007,114.86972
124.291,364.23096,311.185,114.56237
124.708,364.79834,311.55154,112.99825
125.125,364.27713,312.14078,111.58137
125.542,364.56967,312.798,110.46844
125.959,364.79529,312.6915,109.42521
126.376,366.61856,313.60709,108.10286
126.793,366.12283,314.272,107.24814
127.21,367.30325,305.77615,113.65125
127.628,341.2124,207.80484,143.71388
128.045,341.88431,306.90558,132.73476
128.462,342.8006,295.42261,143.52519
128.879,345.49338,295.67325,137.24176
129.296,349.69101,295.52432,134.11201
129.713,335.79431,295.12827,143.59644
130.13,314.2247,323.37988,114.17846
130.547,326.8161,323.90466,94.99853
130.964,335.96564,330.41714,79.37522
131.381,339.37418,332.58411,73.81211
131.798,337.21802,330.48624,67.34357
132.215,340.67764,331.95578,47.99541
132.633,341.01083,329.60269,44.20343
133.05,346.33981,320.73309,44.04597
133.467,339.7746,311.23599,37.78757
133.884,342.57495,315.48346,39.50045
134.301,341.86206,318.33344,41.82457
134.718,342.88882,320.77322,43.11454
135.135,343.58173,320.50464,43.1132
135.552,343.03528,320.69724,42.94789
135.969,342.42834,320.44302,43.8718
136.386,229.28047,253.58951,207.54007
136.803,86.58101,165.36673,468.79755
137.22,67.27626,181.73238,428.81052
137.637,53.01292,239.70712,326.95154
138.055,-14.63737,419.91388,460.40845
138.472,-4.82899,368.06287,323.62717
138.889,80.02226,331.48288,288.16864
139.306,218.18658,304.81348,197.25012
139.723,295.46875,306.87796,184.91222
140.14,333.9682,314.36908,176.48468
140.557,346.55887,322.922,153.55272
140.974,343.21835,322.12802,150.49567
141.391,245.85362,198.80403,267.52377
141.808,198.61961,169.56314,261.48788
142.225,168.26016,145.26154,230.56421
142.643,299.23788,244.25577,147.03397
143.06,328.69318,284.00421,126.46748
143.477,311.38577,291.67206,134.6256
143.894,307.35876,318.24866,115.26836
144.311,303.0101,334.5267,112.92982
144.728,303.33041,338.60812,106.16504
145.145,314.23889,330.0676,102.57513
145.562,323.12665,335.80579,98.1877
145.979,331.13358,342.10687,77.61177
146.396,333.90976,342.98807,71.37183
146.813,329.01605,344.34506,68.91425
147.23,319.1846,332.65103,76.80504
147.648,309.2175,327.92365,89.02124
148.065,314.57828,330.88641,98.1074
148.482,310.20096,333.24701,115.06025
148.899,315.92706,330.42993,114.46738
149.316,320.69556,331.17114,114.07101
149.733,317.04626,335.64807,93.17354
150.15,315.73785,325.92102,94.18869
150.567,236.8512,191.5435,207.92795
150.984,245.30457,119.14204,317.21902
151.401,71.58888,110.28018,410.66019
151.818,-8.27213,133.05695,354.62704
152.235,9.26974,125.56544,335.83524
152.652,108.13028,201.80516,332.16907
153.07,315.47693,287.61493,118.11871
153.487,295.02231,315.64096,115.52036
153.904,292.57156,328.47696,118.61118
154.321,291.99182,327.5899,115.51269
154.738,297.108,324.16507,111.19024
155.155,294.86465,322.43732,109.56391
155.572,295.53726,322.40256,109.03631
155.989,297.73596,324.10269,108.19792
156.406,296.88184,325.09698,106.97051
156.823,297.41699,325.14212,108.32854
157.24,298.29446,334.25473,111.67794
157.658,316.44516,340.79135,102.7832
158.075,318.27194,338.25253,110.06332
158.492,321.86972,336.76141,124.66134
158.909,322.03137,335.42783,126.14953
159.326,304.33936,323.90674,114.30579
159.743,311.69547,340.56982,85.06991
160.16,316.18011,343.2731,85.39185
160.577,301.93961,310.64011,124.77648
160.994,200.06099,171.28452,166.74448
161.411,194.4964,208.41479,131.63776
161.828,132.68422,199.36232,366.88055
162.245,116.82341,101.0594,440.3775
162.663,134.76077,120.36948,331.84732
163.08,231.13628,211.12938,214.81105
163.497,313.6839,282.75015,123.54745
163.914,308.41998,289.13437,116.27798
164.331,305.86414,292.16479,111.4479
164.748,307.84695,293.63776,108.68588
165.165,306.09714,297.34875,107.24409
165.582,304.71194,300.92828,105.73277
165.999,302.8812,318.49988,97.20624
166.416,310.22235,326.47266,95.53089
166.833,313.49313,323.51691,91.45053
167.25,315.55853,327.41525,93.63081
167.667,317.09937,325.75238,87.28786
168.085,315.48956,323.74887,83.43288
168.502,316.12653,323.17688,83.04487
168.919,320.37354,323.86801,82.41915
169.336,326.06052,324.13055,84.91024
169.753,318.552,319.57004,89.10492
170.17,318.48096,323.69202,89.00108
170.587,294.56531,314.37497,94.98341
171.004,297.13019,322.04037,94.56763
171.421,299.54062,321.91498,100.50621
171.838,308.21872,326.39911,99.72757
172.255,307.83261,322.83786,106.76862
172.673,308.86246,327.04425,108.84117
173.09,314.65338,333.8782,115.44474
173.507,313.93176,329.51788,127.88252
173.924,320.35867,323.42761,130.16331
174.341,284.28784,286.78149,168.0981
174.758,260.60239,259.45941,157.14383
175.175,253.7565,264.37912,146.65605
175.592,271.97647,244.30014,187.257
176.009,219.91145,227.46112,255.62453
176.426,142.37485,127.41882,409.83188
176.843,83.01729,53.36599,433.75522
177.26,65.79916,38.85363,400.13635
177.678,88.71947,72.43109,391.40097
178.095,224.69765,212.21111,206.09871
